State,Repeat,Angle,Weight,Filtered_Weight,Current,Filtered_Current,Inter_Torque,Gravity_Torque,Inter_Force,Motor_Torque,Human_Torque
Extension,1,123,92.21307692307693,88.92360365591162,108.63461538461539,155.61458076162887,2938.820144377368,2.2677076869926305,871.451315827934,-0.021687225819618072,-1.9578206518165102
Extension,1,126,33.378,33.45758290542841,237.97533333333334,172.53584168888932,1094.0283893602639,2.2593487937347754,327.88431247319846,-0.053201607474438195,-2.09885964984969
Extension,1,129,16.30333333333333,14.400307304296804,153.68866666666665,165.47734798770688,495.43145205957916,2.1703422830199477,141.1230115821087,-0.040055774822638224,-2.0817012790855647
Extension,1,132,-268.1925,-269.615657931508,363.15,319.18012281591155,-8902.1062546945,2.2139444209381054,-2642.2334477287786,-0.32631386919061756,-2.7606289658841368
Extension,1,133,88.2781818181818,84.08679544101432,89.7481818181818,105.77450764348313,2845.857282464677,1.9928727565588575,824.0505953219404,0.07113558996824054,-1.784925079784383
Extension,1,136,-44.328666666666656,-39.68203109010222,86.618,176.25016487051775,-1224.2411181520993,1.939978470497877,-388.8839046830018,-0.060119212423523694,-1.9999163012155823
Extension,1,139,-68.97466666666668,-72.30539689344874,314.192,202.83970157415268,-2259.8976178907533,1.8321817539985308,-708.5928895557978,-0.10963991961581354,-1.9441620869481617
Extension,1,142,-255.78666666666666,-266.99782971306223,162.74499999999998,274.24090141697536,-8291.488832962681,1.6268456451435285,-2616.57873118801,-0.24261846489867378,-2.1973444802311333
Extension,1,143,53.45625,56.920121707433324,144.5875,156.06787913286144,1867.8928036698976,1.7191949107744127,557.8171927328466,-0.02253145474179713,-1.5134857440702187
Extension,1,145,-579.35,-561.2584193293957,906.53,606.5043919721329,-14873.348112228985,1.1440268965388456,-5500.332509428078,-0.8614304137439792,-1.7411736940060825
Extension,1,146,-134.76076923076923,-131.8967379855657,241.2723076923077,247.3226815092798,-4344.029765393425,1.6077543266082057,-1292.588032258544,-0.192485613730777,-1.8412725132871337
Extension,1,149,-193.39000000000001,-190.88217616478263,306.8521428571429,285.7983458090729,-6009.361360230991,1.4484080017846215,-1870.64532641487,-0.2641432032200448,-1.7735818418979072
Extension,1,152,-215.09833333333333,-210.93621059330738,329.74916666666667,303.47104319115545,-6782.000881846471,1.313109852030702,-2067.1748638144127,-0.2970570701335822,-1.6811398798412802
Extension,1,153,-101.46666666666665,-100.84667935814173,167.67666666666665,116.46833107004295,-2815.2357303664116,1.2600785249877706,-988.297457709789,0.05121927083206229,-1.5873781140854848
Extension,1,155,-310.46500000000003,-316.2182756642529,299.935,316.05966401886747,-10153.30631351488,1.2172765904134721,-3098.9391015096785,-0.3205022851785915,-1.8924735315014518
Extension,1,156,-132.09666666666666,-137.2923830392288,176.04555555555555,227.8360110852846,-4322.6023225992685,1.112139986750337,-1345.4653537844424,-0.15619337927121985,-1.3798490935433052
Extension,1,158,89.25,79.81833860382542,258.24,225.29528535459764,2434.4593274166755,0.9437625344544852,782.2197183174892,-0.15146149784103058,-0.5535621279429171
Extension,1,159,-286.9676923076923,-287.7835972124734,265.0684615384615,275.4137748301967,-9257.870445525776,0.9976063712719081,-2820.2792526822395,-0.24480283996007968,-1.6606904949126593
Extension,1,162,-241.346,-236.11853360914972,315.44733333333335,276.1726540465825,-7617.225014352419,0.8629944467656085,-2313.9616293696677,-0.24621618671703227,-1.363772866425568
Extension,1,165,-235.53125,-238.8310365798922,262.61125,281.39967379947916,-7778.875873188046,0.718589932064272,-2340.5441584829437,-0.2559510579017613,-1.2254860146892619
Extension,1,166,-265.90000000000003,-254.59647254022957,243.25285714285715,318.1145291899432,-8253.309125528176,0.6801213857279692,-2495.04543089425,-0.324329293433405,-1.165165241954065
Extension,1,168,0.37,-6.941450369930044,156.02,95.96670875940596,-211.71423628286632,0.5238008826262991,-68.02621362531443,0.08940176519922363,-0.6339647222421954
Extension,1,169,-268.40714285714284,-272.81049577795517,316.8435714285714,348.1545898500803,-8930.396635963765,0.5365996985060517,-2673.542858623961,-0.3802763023854605,-1.0320961489672915
Extension,1,171,-42.53,-41.02284474342165,182.92,51.70921548638256,-1251.1967646743603,0.3941120893152137,-402.0238784855322,0.17182750995236618,-0.6886400883521272
Extension,1,172,-280.5021428571428,-281.90969348883107,370.25928571428574,380.1316421392461,-9297.331301624688,0.3913874388780702,-2762.7149961905448,-0.43983079033815375,-0.8633134002346221
Extension,1,174,-625.22,-613.5407666320444,1331.55,1156.0540067943923,-21473.926832121557,0.32567884047797513,-6012.699512994036,-1.8849189335544225,-0.5466327794072452
Extension,1,175,-232.12333333333333,-242.36413132231155,360.23583333333335,295.13889852296063,-8186.8841849647215,0.2503555985301802,-2375.1684869586534,-0.281539172962359,-0.7716755137106516
Extension,1,176,-336.11,-339.8110817653002,489.58,271.03873694505336,-9808.25750557172,0.15014505333061334,-3330.148601299942,-0.23665471114985703,-0.8753518390925167
Extension,1,177,-647.57,-646.7124285057193,1154.01,1178.9191155845085,-22634.934997700177,0.16306289226565632,-6337.78179935605,-1.9275032166104111,-0.455288556857699
Extension,1,178,-623.2317647058824,-624.8929312184891,920.4547058823529,896.5052186238655,-21898.803402023594,0.10903116414618211,-6123.950725941194,-1.4015318146149174,-0.8550383806875408
