Timer,State,InteractionTorque,Angle,MotorTorque,HumanTorque
0.933463756,flexion,-2.5614419996648436,54.081958743600936,-5.0,-4.015945053346097
0.966777103,flexion,-2.698076791997204,56.62639991212176,-5.0,-5.045087540664797
1.000255674,flexion,42.33054465300239,58.88338385368153,-5.0,-5.319288461478611
1.03347921,flexion,-2.961102675297748,60.861393994803706,-5.0,-6.082562315331673
1.066801184,flexion,-3.16950602682504,62.568588483134874,-5.0,-6.143531864292342
1.100333196,flexion,50.77463156858994,64.06464293901668,-5.0,-5.97657208809235
1.133480999,flexion,-3.3990481430563086,65.23106779180102,-5.0,-6.192046106346691
1.166904445,flexion,43.977647243454015,66.1899172971448,-5.0,-6.2002331454344155
1.200244763,flexion,-3.6022854195058596,66.97759439148052,-5.0,-5.813123989808223
1.233481875,flexion,-3.7004128001006853,67.58768183353455,-5.0,-5.635768301058572
1.266853763,flexion,-3.802681100343949,68.0401968187497,-5.0,-5.358126931094723
1.30019349,flexion,-3.8439344621046985,68.36579530195675,-5.0,-4.994509616079688
1.333466881,flexion,45.75184265692774,68.5771140297716,-5.0,-3.826155260655185
1.366801389,flexion,-3.9092195104371488,68.73652358571104,-5.0,-3.3175748765384725
1.400234733,flexion,-3.902735214541388,68.89424686621793,-5.0,-2.831903383202328
1.433478218,flexion,-3.930908340167047,69.05672397642459,-5.0,-2.4169384513080043
1.466779742,flexion,-3.910830522463148,69.26120911908858,-5.0,-1.9284161508785682
1.500283971,flexion,-3.8463031026777386,69.53119581088012,-5.0,-1.544651936371403
1.533420914,flexion,-3.8306731588262384,69.86758340773534,-5.0,-1.2034763206145456
1.566901268,flexion,-3.7658370331921196,70.29378743409413,-5.0,-0.849788029193361
1.600282424,flexion,-3.7116275734929998,70.82792834214067,-5.0,-0.4160731030409768
1.633483638,flexion,-3.650860089590681,71.46336022638283,-5.0,-0.11720478748677743
1.666774482,flexion,-3.5928514417545037,72.21985914278685,-5.0,-0.1437904270471202
1.700263673,flexion,-3.538014421898552,73.06214797303663,-5.0,-0.24038217491681224
1.73346146,flexion,-3.4516957371095147,74.0031346782616,-5.0,-0.42112630938512585
1.766799644,flexion,-3.4523846502306754,75.03710262189261,-5.0,-0.915955019617834
1.800119183,flexion,-3.404853975080836,76.14557176702617,-5.0,-1.2558054357533246
1.833398015,flexion,-3.4116229388758192,77.20852394368029,-5.0,-1.8291472087841634
1.86677342,flexion,-3.390072492762907,78.31024742321618,-5.0,-2.4387038635056832
1.900098379,flexion,-3.4105010995053657,79.44952305418371,-5.0,-3.0784492975936475
1.933442674,flexion,-3.487842842593884,80.49184175509816,-5.0,-3.8907803158997893
1.966787311,extension,-3.501558872309623,81.41389612325126,1.0,-4.629771232858565
2.000375549,extension,2.3088043470182362,82.04272176116012,1.0,-5.062030078733385
2.033457096,extension,2.047502296544341,82.28602969897497,1.0,-5.099272840914471
2.066772237,extension,-0.13931334876754609,82.15393233950572,1.0,-5.281168272945534
2.100253081,extension,-0.2511692366320766,81.69968058472568,1.0,-4.993962357071316
2.133423087,extension,-0.4620966450956381,80.97871416991443,1.0,-4.842089976879144
2.166801136,extension,-0.5619998276835068,80.00655448850226,1.0,-4.548845449885274
2.200310295,extension,-0.650600832095638,78.76893942733572,1.0,-3.8555458919998395
2.233484568,extension,-0.7772723175399606,77.3871327889341,1.0,-3.087793136844464
2.266852068,extension,-0.8043297466829413,75.87747401277365,1.0,-2.4347605241620034
2.300322352,extension,-0.8737007023327502,74.21498322696502,1.0,-1.7901695089845775
2.333490674,extension,-0.8852981333360079,72.55119445850707,1.0,-1.001395460461228
2.366773283,extension,-0.89943208274531,70.87056659269814,1.0,-0.30814923784603454
2.400204664,extension,-0.8716185644039204,69.26127976286209,1.0,0.3925251778128325
2.433479738,extension,-0.8475781431120029,67.65428096399668,1.0,1.1732846500173242
2.46695391,extension,-0.8134083810387943,66.05275330232206,1.0,1.488288629081166
2.500564281,extension,-0.7889277022122931,64.5939332974625,1.0,1.3663511864374083
2.533446941,extension,-0.7665744962910236,63.093994409696194,1.0,0.9799027198973803
2.566795504,extension,-1.4407945000616171,61.79264734294156,1.0,1.3039080003937153
2.600252915,extension,-1.3714848039386147,60.58302147615395,1.0,1.5374844695461525
2.633503753,extension,-1.5890680696671635,59.47498419523237,1.0,1.7214644470251577
2.666804286,extension,-1.573667989835455,58.479040708269295,1.0,1.7651753242727397
2.700573487,extension,-1.0583139397670145,57.56679235518083,1.0,1.703062711399071
2.733451158,extension,-0.8323336314921221,56.78230912770925,1.0,1.5559043304992306
2.766776157,extension,-2.944794723370756,56.07925487513201,1.0,1.2576866988084054
2.800362943,extension,-0.7157587338960295,55.43249995789739,1.0,0.8639278956809966
2.833458607,extension,-0.349682920796204,54.79140844688386,1.0,0.43048724261039817
2.866773657,extension,-0.336764537749485,54.184639453426044,1.0,-0.06442840514255244
2.900106832,extension,-0.3258701818264391,53.58131926871621,1.0,-0.3803286125798276
2.933442401,extension,-0.31707162708160874,52.97898530182239,1.0,-0.32849535447633516
2.96674666,extension,-0.3070279993486227,52.396242011303,1.0,-0.09235814195642633
3.000292198,extension,-0.34055489916721204,51.788414725392514,1.0,-0.15141852233256237
3.033466571,extension,-0.3524357716710812,51.14076527101445,1.0,-0.8965470420982531
3.066825845,extension,-0.3697504129624325,50.45508525549525,1.0,-1.5616184856941149
3.100176172,extension,-0.42662757653098526,49.66860219630476,1.0,-2.3022949225139415
3.133398407,extension,-0.47662014880446824,48.808190999253554,1.0,-3.0094984249939967
3.166791705,extension,-0.5273410686843585,47.857636424064644,1.0,-3.694512871656515
3.200141491,extension,-0.6332384085791418,46.70349976626986,1.0,-4.2786736739630395
3.233485497,extension,11.933486248592567,45.42749774559484,1.0,-4.6673818663986175
3.266790648,extension,14.556479565527248,43.989952766751735,1.0,-5.1084393738683636
3.300165051,extension,-0.8799456780262134,42.344249280458584,1.0,-5.364375988441216
3.333476274,extension,9.61485365109565,40.57931340158203,1.0,-5.4876756451636455
3.36678925,extension,-1.0361091186784894,38.65933665881662,1.0,-5.498036934716649
3.400204741,extension,7.300342719305307,36.52055141567413,1.0,-5.548197864969068
3.433463154,extension,-1.1838649403676373,34.30705211539431,1.0,-5.174048835794631
3.46684483,extension,-1.2420824737456773,32.190293431886374,1.0,-5.003309596723068
3.500097271,extension,-1.2836228052962981,29.68836543107537,1.0,-4.643103530958985
3.533494748,extension,-1.317411120372318,27.19227748773677,1.0,-3.8926114886794188
3.566790191,extension,-1.3201102207836388,24.673367811736252,1.0,-3.1611257831279644
3.600396403,extension,-1.3017875127406984,22.102606951403953,1.0,-2.393353574247533
3.633449997,extension,-1.2536840613197548,19.682050243070393,1.0,-1.6542668024480267
3.666824591,extension,-1.216870109260718,17.29045284508455,1.0,-1.1602229739496652
3.700311868,extension,-1.1816158138983213,15.04590045624454,1.0,-1.2534936443975797
3.733448149,extension,-1.1345058144969493,12.87361954235121,1.0,-1.7701746091007435
3.766751747,extension,-1.102464171695046,10.771442195336355,1.0,-2.198426647478321
3.800289049,extension,-1.070346621642771,8.797664613750122,1.0,-2.5304855604515213
3.83365207,extension,-1.038617096544385,6.885622594223281,1.0,-2.716693679372297
3.866724019,extension,-0.9982425665397217,4.976437918633353,1.0,-2.5995083372744534
3.900389213,extension,-0.9694971996276778,3.1289052644050623,1.0,-2.388274871077624
3.933492051,flexion,-6.906221893549086,1.3765437504207183,-5.0,-2.326919299574555
3.96684347,flexion,-6.703656515614022,0.06117786178179329,-5.0,-2.4159907866565886
4.000167037,flexion,-3.891896652295122,0.13205103549576383,-5.0,-2.782870321954207
4.033453713,flexion,-3.739759767597759,0.5236625718031434,-5.0,-1.8447666734966433
4.066770527,flexion,-3.6301089508982134,1.146114771872641,-5.0,-0.7415815696182181
4.100160619,flexion,-3.5237563904500884,2.0210142421072734,-5.0,0.18815323651753224
4.133414162,flexion,-3.3867179684572246,3.0895810698399258,-5.0,0.7567003826295791
4.166824543,flexion,-3.28810565140489,4.4088962308929185,-5.0,0.9649824381021871
4.200317191,flexion,-3.19168870159422,5.846816843170794,-5.0,1.0362779535541606
4.233445837,flexion,-3.098635027008795,7.468757333220012,-5.0,1.113503399098561
4.266801124,flexion,-2.9766741577256735,9.26926506991208,-5.0,1.722974434287337
4.300099051,flexion,-2.8891892324593655,11.371267025950708,-5.0,2.2694156182137295
4.333440161,flexion,-2.8475742621417433,13.550900145946997,-5.0,2.5631458667222278
4.366716959,flexion,-2.7371408263712897,15.846234449291593,-5.0,2.2039365750696454
4.400251445,flexion,-2.673360199913674,18.120267460368222,-5.0,1.7800159630399888
4.433528774,flexion,-2.6314574306681315,20.643336761399677,-5.0,1.065958197799309
4.46688376,flexion,-2.6114375709874693,23.290165814138813,-5.0,0.36097545864259795
4.500274373,flexion,-2.609127143574235,25.886557826645184,-5.0,-0.5759532656120552
4.533483192,flexion,-2.6322829006171378,28.45978750512774,-5.0,-1.4720155649675164
4.566804734,flexion,-2.6642437551311238,30.96718942220427,-5.0,-2.298769024166457
4.600208823,flexion,-2.7321502102636988,33.38826655752757,-5.0,-2.93626434201218
4.633462096,flexion,-2.7947988489959634,35.75423411375606,-5.0,-3.758198446025138
4.666730358,flexion,-2.879421365097692,37.89328913981679,-5.0,-4.278511835805937
4.700161408,flexion,-2.9949253555399244,39.9107032490247,-5.0,-4.743068366443891
4.733443235,flexion,-3.0989492827305867,41.66834927594776,-5.0,-5.067636403960041
4.766789845,flexion,-3.1910863031970997,43.236871883874976,-5.0,-5.1523961389213255
4.800971669,flexion,21.261478187648066,44.63104465330578,-5.0,-5.126827691176418
4.83345901,flexion,-3.380279593453192,45.75750608335444,-5.0,-4.806829247137117
4.866720688,flexion,-3.431365768003383,46.86532583080406,-5.0,-4.5080150030967205
4.90026829,flexion,-3.4873904557951825,47.861709530998354,-5.0,-4.1247908226341075
