Number,State,Angle,Weight,Filtered_Weight,Current,Filtered_Current,Inter_Torque,Gravity_Torque,Angle_int,Motion,Inter_Force,Motor_Torque,Human_Torque
1,Extension,128,613.265,596.1806161237539,18.83,-7.116971628429955,20866.32156433139,2.5816466303146233,128,78.011,6009.997,0.28138618409629157,-0.816745664679314
1,Extension,129,705.38,712.3351653196396,8.07,-23.334710941524197,24931.730786187385,2.546051869819169,129,78.442,6912.724,0.3115903177296105,-0.41267457928803136
1,Extension,130,565.3,591.9919012585074,5.38,-15.605100396147257,20719.71654404776,2.5096815572600093,130,78.873,5539.94,0.29719458813136895,-0.7749660370643989
1,Extension,133,581.01,594.3103105415917,-71.285,-11.719896302242397,20800.86086895571,2.3960292555798843,133,80.166,5693.898,0.2899587322960077,-0.6461203395090513
1,Extension,134,715.89,663.7956531096352,18.83,-29.958993220269285,23232.84785883723,2.35666983362298,134,80.597,7015.722000000001,0.32392746924680726,-0.4022331993243864
1,Extension,136,573.56,575.7972319666324,18.83,-10.337726449541044,20152.90311883213,2.275809604256166,136,81.459,5620.888,0.28738456075896557,-0.5868694661594962
1,Extension,137,575.8199999999999,564.8948732587729,6.725,-18.379623750715275,19771.320564057052,2.234333427655433,137,81.89,5643.036,0.30236189736925234,-0.5977910922531504
1,Extension,139,606.315,613.047681735556,-52.455,-26.95227252298305,21456.66886074446,2.149352116996768,139,82.752,5941.887000000001,0.31832771258617487,-0.3634993859708423
1,Extension,140,588.2266666666666,568.8265005866274,14.346666666666666,-0.4979678918088286,19908.927520531957,2.1058728690692954,140,83.183,5764.621333333333,0.26905886340622936,-0.42253286693509734
1,Extension,142,592.965,590.7475452155406,10.76,7.711251264857646,20676.164082543924,2.017003404984316,142,84.045,5811.057000000001,0.25376990434441005,-0.24313423852216987
1,Extension,143,319.7409090909091,323.40121055047786,-9.048181818181819,-6.469179711240636,11319.042369266725,1.971640259326467,143,84.476,3133.4609090909094,0.28017972780447215,-1.1418011044980336
1,Extension,144,657.8,640.834120201768,10.76,15.586999768541357,22429.19420706188,1.9256765329459198,144,84.907,6446.44,0.23910200546681437,0.034774063287805634
1,Extension,145,418.41,462.9495729517093,-83.39,-17.88966966359068,16203.235053309825,1.8791262268389892,145,85.338,4100.418000000001,0.30144940035373097,-0.5915810566141784
1,Extension,146,587.23,609.2928244583879,18.83,-19.06324017297633,21325.24885604358,1.8320035206798595,146,85.769,5754.854,0.3036350736963149,-0.04434605081909626
1,Extension,147,528.735,511.5855805523056,16.14,-3.4310957702850136,17905.495319330694,1.7843227685013137,147,86.2,5181.603,0.2745215598212333,-0.30291504924169155
1,Extension,148,202.98888888888888,197.5178095430182,-9.265555555555554,-3.3538004108223363,6913.123334005638,1.7360984943223594,148,86.631,1989.2911111111111,0.2743776039145946,-1.3325302801744736
1,Extension,149,268.5133333333333,262.62706207114235,0.0,-4.671153029807992,9191.947172489981,1.687345387724071,149,87.062,2631.4306666666666,0.2768310589725335,-1.0627543478332167
1,Extension,150,377.345,374.3770037620324,3.69875,3.1806057978773383,13103.195131671135,1.638078299375,150,87.493,3697.9810000000007,0.26220783878693593,-0.6153016364279109
1,Extension,152,472.87,487.06101692012936,-26.9,3.591745063856699,17047.135592204526,1.5380623583464714,152,88.355,4634.126,0.2614421275437222,-0.1277515420608688
1,Extension,155,372.17,373.8117133429266,21.52,2.037935905009993,13083.409967002432,1.3845636069540475,155,89.648,3647.2660000000005,0.26433596240987944,-0.365855329505579
