Number,State,Angle,Weight,Filtered_Weight,Current,Filtered_Current,Inter_Torque,Gravity_Torque,Angle_int,Motion,Inter_Force,Motor_Torque,Human_Torque
1,Extension,162,-286.132,-284.6855313863493,195.83200000000002,227.94034198919485,-9963.993598522226,1.0123880652473758,162,92.665,-2804.0936,-0.1563876865358116,-1.8331343693770283
1,Extension,165,-455.4,-460.96511512506106,306.66,330.0115666497148,-16133.779029377138,0.8479317224947973,165,93.958,-4462.92,-0.3464864944056397,-2.083628489410017
1,Extension,166,-234.6075,-235.32988764129078,338.94,218.99969223720055,-8236.546067445177,0.7925740146509601,166,94.389,-2299.1535,-0.139736501394372,-1.460566768459671
1,Extension,169,-280.37399999999997,-288.7792590132315,148.488,261.1603442990334,-10107.274065463103,0.6251201493037256,169,95.682,-2747.6652,-0.21825706115668703,-1.3980480929025876
1,Extension,172,-318.506,-311.49591405977645,264.158,291.71765160987377,-10902.356992092176,0.4559528730788184,172,96.975,-3121.3588,-0.27516739715806904,-1.249941481492905
1,Extension,175,-337.68199999999996,-347.8944141068153,363.688,309.85529536723675,-12176.304493738537,0.2855358617216978,175,98.268,-3309.2835999999998,-0.30894718639161545,-1.1706762551624452
1,Extension,179,-454.196380952381,-454.22321857949396,117.46333333333332,110.24708944541578,-15897.812650282287,0.05717681651357336,179,99.992,-4451.124533333334,0.06280579406860787,-1.6790254746930278
2,Extension,63,-81.37333333333333,-81.90800704519448,606.1466666666666,188.02541164363296,-2866.780246581807,2.7761048291023322,63,50.0,-797.4586666666668,-0.08204958879930607,-2.9751903489324474
2,Extension,64,24.32,30.688747621906547,802.965,242.74222139891947,1074.106166766729,2.8003683750491177,64,50.427,238.336,-0.18395490383314617,-2.5110796374721587
2,Extension,67,-43.724,-71.45719929813917,-84.46600000000001,162.67957482055536,-2501.0019754348714,2.868012634597962,67,51.72,-428.4952,-0.03484516482423178,-3.0784319831191955
2,Extension,70,-95.542,-120.14698414405109,215.2,69.19321229771131,-4205.144445041788,2.9277958708684877,70,53.013,-936.3116000000001,0.1392650814943187,-3.479444755330906
2,Extension,73,-221.85999999999999,-164.50367662984993,-328.718,4.9811154728607905,-5757.628682044748,2.979554222165558,73,54.306,-2174.228,0.2588545455947476,-3.8030392680940994
2,Extension,77,-215.95999999999998,-186.2790117307737,271.152,-1.5847395806636768,-6519.76541057708,3.035840219741409,77,56.03,-2116.408,0.27108288146974435,-3.9462936839847798
2,Extension,80,-156.61200000000002,-187.81592225936578,-97.37800000000001,30.53370026500962,-6573.557279077802,3.068360875769106,80,57.323,-1534.7976000000003,0.2112650714492588,-3.924271710331455
2,Extension,83,-160.064,-187.03493327096274,102.22,79.58535872371311,-6546.222664483696,3.0924713679154694,83,58.616,-1568.6272000000001,0.11991060962076086,-3.854347130633111
2,Extension,87,-199.33999999999997,-194.1817524762643,189.376,133.0302521413731,-6796.36133666925,3.111425336017287,87,60.34,-1953.532,0.020374128509479617,-3.798294842031728
2,Extension,90,-221.81799999999998,-204.72553558168812,123.73999999999998,182.60280398028092,-7165.393745359084,3.1156952881250004,90,61.633,-2173.8164,-0.07195045208592316,-3.746429930711407
